"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003.14",125068.14661622,-0.166153402800788,0.0544113174096511,-3.05365520834304,0.00226071744637567,0.00265276087677708
"ENSG00000000005.5",652.4854034458,-1.4821323097948,0.335021340539452,-4.42399372949875,9.68928335256743e-06,1.24230343465589e-05
"ENSG00000000419.12",115665.276571056,0.297689983710222,0.0355203578834722,8.38082726212448,5.25569850097582e-17,8.75730762725095e-17
"ENSG00000000457.13",87140.4299159541,0.0421305649703376,0.0340944169349281,1.23570275598926,0.216569072749911,0.231752668431066
"ENSG00000000460.16",40772.9629151484,-0.333658828249599,0.0346700581838609,-9.62383237086458,6.34231199047827e-22,1.14298808697263e-21
"ENSG00000000938.12",49862.9684231451,-0.86847293479213,0.101404390099017,-8.56445104540449,1.08591958043973e-17,1.83386503470376e-17
"ENSG00000000971.15",297673.962525092,-2.13926056630467,0.0849226747569612,-25.1906875569686,5.06679150244688e-140,3.57356247236069e-139
"ENSG00000001036.13",220218.648206066,-0.284091552962044,0.0392094139578243,-7.24549347428726,4.30867524886631e-13,6.66810848305587e-13
"ENSG00000001084.10",146679.247074989,0.511398592080697,0.051692482146621,9.89309413756068,4.46024833439646e-23,8.15943874165208e-23
"ENSG00000001167.14",100198.725153869,0.0274439951925196,0.0412812364224259,0.664805552616898,0.506174870712176,0.526448194532638
"ENSG00000001460.17",41427.8893493397,-0.640936396380957,0.044820858558834,-14.2999580327011,2.18941547729677e-46,5.44833384798369e-46
"ENSG00000001461.16",149684.568768822,0.138525546453048,0.039688567901081,3.49031355322032,0.000482454127099177,0.000584115668867577
"ENSG00000001497.16",158492.562503335,0.391106562629002,0.029809182421103,13.1203384616186,2.51807808971597e-39,5.74432075343649e-39
"ENSG00000001561.6",100960.932910321,0.114922038468668,0.0499082900511888,2.30266431390051,0.0212977375242988,0.0239779426688263
"ENSG00000001617.11",93139.5509913057,-1.07693586321354,0.0710185280680288,-15.1641535316241,6.10812925170627e-52,1.62734236359583e-51
"ENSG00000001626.14",1481983.46650401,1.24000349612058,0.141290420044717,8.7762743979962,1.68979242991115e-18,2.9014512353863e-18
"ENSG00000001629.9",189578.852980828,0.0258994633332649,0.0374435467232477,0.691693645494983,0.489129738425679,0.509250149430953
"ENSG00000001630.15",284663.649880077,-0.6202717055209,0.061205310500937,-10.1342792062366,3.8923352759028e-24,7.226299335346e-24
"ENSG00000001631.15",150615.994142146,0.888742033926066,0.0337249541683147,26.3526535719079,4.78530108034905e-153,3.89743768234539e-152
"ENSG00000002016.17",51685.6847038366,1.36477507391677,0.0573446009616385,23.799539120165,3.37667039771544e-125,2.00942037506905e-124
"ENSG00000002330.13",139046.068734487,-0.523934988379239,0.0518646579551878,-10.1019655587419,5.41458827695312e-24,1.00291516996459e-23
"ENSG00000002549.12",229854.067551018,-1.15008216997914,0.0484353295889179,-23.7446958602359,1.24650596453423e-124,7.3848553365517e-124
"ENSG00000002586.18",831075.684939497,-0.450264902288568,0.0518068851194846,-8.69121741733943,3.58576073414695e-18,6.12274004092811e-18
"ENSG00000002586.18_PAR_Y",0,NA,NA,NA,NA,NA
"ENSG00000002587.9",91384.1755127478,-4.60769246987036,0.105275819807004,-43.7678137137034,0,0
"ENSG00000002726.20",171534.746710887,-7.36659724419461,0.14413641162623,-51.1085100640458,0,0
"ENSG00000002745.12",1167.37803895494,-0.166262782217865,0.132068696636409,-1.25891135789424,0.208062350918425,0.223187055075853
"ENSG00000002746.14",4409.10079737721,-3.97014658857267,0.154697445880371,-25.6639440035928,2.95481666773029e-145,2.21279248206993e-144
"ENSG00000002822.15",83196.2947922127,-1.40897889477635,0.0486030051602236,-28.9895427274823,8.91321946755412e-185,1.0183989900214e-183
"ENSG00000002834.17",895636.927248317,-0.868092048301026,0.0342957630310783,-25.3119327747388,2.36057601551988e-141,1.69174614445591e-140
"ENSG00000002919.14",84731.0920229925,-0.328640766146726,0.0314026597783274,-10.4653799540107,1.24575740740805e-25,2.36664316970298e-25
"ENSG00000002933.7",293148.902981531,-2.2793542523915,0.0963210749606974,-23.6641280563112,8.44473937391566e-124,4.95168808743237e-123
"ENSG00000003056.7",372826.58164065,-0.106614290306189,0.0287919861144972,-3.70291545300889,0.000213135927822335,0.000260731286436683
"ENSG00000003096.13",20712.8995379162,1.21459983751593,0.0821199658386932,14.790554588171,1.68559194947872e-49,4.37138923862867e-49
"ENSG00000003137.8",10051.9113372807,-0.691931535861961,0.102698183066779,-6.73752461046012,1.61107660067772e-11,2.39951408793676e-11
"ENSG00000003147.17",312699.274530705,1.11416131855995,0.0580450498284803,19.1947689226253,4.09298899465079e-82,1.55220531334902e-81
"ENSG00000003249.13",89487.2755092373,0.669509493600698,0.0750370153158197,8.92238971370105,4.56333222615381e-19,7.88283610038406e-19
"ENSG00000003393.14",98366.5987950836,0.0574611500914549,0.0301839718649508,1.90369744407885,0.0569495995117662,0.0626868836904908
"ENSG00000003400.14",87626.4462461227,-0.517127763358753,0.0503001864600503,-10.2808319362686,8.59821811305755e-25,1.61352765059208e-24
"ENSG00000003402.19",613259.648125547,0.168664708117203,0.0376239448152252,4.48290866217064,7.363245102201e-06,9.47718608422973e-06
"ENSG00000003436.14",228521.540884299,-1.29010056164843,0.0839163566251824,-15.3736483986161,2.45921932041462e-53,6.68553233333654e-53
"ENSG00000003509.15",64741.130011314,0.648020545892605,0.0299770009929498,21.6172573782484,1.23607915903657e-103,6.02814702071617e-103
"ENSG00000003756.16",703114.194607615,1.3964718330915,0.0411542031456799,33.932666079044,2.19788097620101e-252,5.1399567390806e-251
"ENSG00000003987.13",13336.1883063903,0.629163257085091,0.0918439763620064,6.85034862390127,7.3670230913167e-12,1.10754606549532e-11
"ENSG00000003989.16",698684.388402165,2.42701344617798,0.21033139823874,11.5389973465738,8.38974323192843e-31,1.72230919838202e-30
"ENSG00000004059.10",547844.285192821,0.0119934950418246,0.038892051817977,0.308379076988704,0.757793900854774,0.771884312154417
"ENSG00000004139.13",303611.093847206,1.41290857106839,0.0538178994160879,26.2535064801512,6.51818743252498e-152,5.28726806139298e-151
"ENSG00000004142.11",382279.747282418,0.430923724813033,0.0288111169024712,14.9568559341783,1.405091687557e-50,3.67973913460408e-50
